Status,Opportunity Number,Administering Agency,Amount Available,Link to Apply,Title,Description,Funding Mechanism,Statute,Eligible Applicants,Primary EV Supply Chain Segment,Secondary EV Supply Chain Segment,Informational Webinar,Date Issued,Prelim Response,Response Due
Closed,89303023ASE000001,DOE,"$20,000,000",https://doerebates.my.site.com/rebates/s/,Rebate Program for Transformers and Critical Industrial Equipment,"$20 million to support the installation of energy efficient distribution transformers and extended product systems that use equipment with electric motors, such as pumps, air compressors, and fans.",Rebate,BIL,"Domestic manufacturers, utilites, Tribes, Hospitals, Schools, other operators",Electricity Providers,,https://doe.webex.com/webappng/sites/doe/meeting/register/d44caa2017154543a3658b9ed9a6d858?ticket=4832534b0000000472ff44bbdc580c22883ac9ad6807baafff735c45e333cca5610407be121579a1&timestamp=1693323064112&RGID=rd5c0fd65b2cbb65dc953de199bcfeb4b,8/1/2023,,12/8/2023
Open,DE-FOA-0003106,DOE,"$2,000,000,000",https://infrastructure-exchange.energy.gov/Default.aspx#FoaIdf9eb1c8a-9922-46b6-993e-78972d823cb2,Domestic Manufacturing Grants,"The Domestic Manufacturing Conversion Grants for electrified vehicles program, will provide cost-shared grants for domestic production of efficient hybrid, plug-in electric hybrid, plug-in electric drive, and hydrogen fuel cell electric vehicles.",Grant,IRA,"Higher Education, For-profit entities, nonprofit entities, SLGs",Vehicle Manufacturing,Battery Manufacturing,https://www.youtube.com/watch?v=VXdygmaxywo,8/31/2023,11/1/2023,1/9/2024
Open,Title 17 Clean Energy Financing Program,DOE,Varies,https://www.energy.gov/lpo/request-pre-application-consultation,Innovative Energy and Innovative Supply Chain Loan Guarantee,DOE LPO can finance projects that deploy new or significantly improved high-impact clean energy technology (Innovative Energy) or that employ new or significantly improved technology in the manufacturing process for a qualifying clean energy technology or manufacture innovative products with an eligible technology end-use (Innovative Supply Chain).,Loan,IRA,Varies,All,,,N/A,,N/A
Open,Title 17 Clean Energy Financing Program,DOE,Varies,https://www.energy.gov/lpo/request-pre-application-consultation,Energy Infrastructure Reinvestment Loan Guarantee,"LPO can finance projects that retool, repower, repurpose, or replace energy infrastructure that has ceased operations or enable operating energy infrastructure to avoid, reduce, utilize or sequester air pollutants or greenhouse gas emissions.",Loan,IRA,Varies,Electricity Providers,Battery Manufacturing,,N/A,,N/A
Open,Advanced Technology Vehicles Manufacturing Loan Program,DOE,Varies,https://www.energy.gov/lpo/advanced-transportation-financing,Advanced Transportation Direct Loan,"Provides direct loans to automotive or component manufacturers for reequipping, expanding, or establishing manufacturing facilities in the U.S. that produce fuel-efficient advanced technology vehicles or qualifying components, or for engineering integration performed in the U.S. for advanced technology vehicles or qualifying components",Loan,Other,"Varies, but project based",Vehicle Manufacturing,Battery Manufacturing,,N/A,,N/A
Open,Carbon Dioxide Transportation Infrastructure Financing Program,DOE,Varies,https://parc.loanprograms.energy.gov/Content/CIFIA/ConsultationRequest.html,CO2 Transportation Infrastructure Loans and Grants,"Offers access to capital for large-capacity, common-carrier carbon dioxide (CO2) transport projects (e.g., pipelines, rail, shipping, and other transport methods)",Loans & Grants,BIL,"Varies, but project based",,,,N/A,,N/A
Open,FR-6700-N-91B,HUD,"$837,500,000 (grants), $4,000,000,000 in loan authority",https://www.grants.gov/web/grants,The Green and Resilient Retrofit Program (GRRP)," Funding for direct loans and grants to fund projects that improve energy or water efficiency, enhance indoor air quality or sustainability, implement the use of zero-emission electricity generation, low-emission building materials or processes, energy storage, or building electrification strategies, or address climate resilience, of eligible HUD-assisted multifamily properties.",Loans & Grants,IRA,Owners or purchasers of property in specific HUD programs,Charger Manufacturing and Operations,Battery Manufacturing,https://www.hud.gov/sites/dfiles/Housing/documents/CohortOverview_Edited_5.30.23.mp4,5/11/2023,,5/1/2024
Open,EPA-R-OAR-CPRGI-23-07,EPA,"$4,300,000,000",https://www.grants.gov/web/grants/view-opportunity.html?oppId=350252,Climate Pollution Reduction Grants Program: Implementation Grants,"$4.3 billion for the for competitive grants to eligible applicants to implement GHG reduction programs, policies, projects, and measures identified in a PCAP developed under a CPRG planning grant.",Grant,IRA,"Open to entities that received planning grants to develop Priority Climate Action Plans (PCAPs) under phase 1 of the CPRG program, as well as entities that did not directly receive a planning grant ",All,,https://abtassociates.webex.com/webappng/sites/abtassociates/meeting/register/d56b2e2eb2f24e6b911d7701ba7ed4fe?ticket=4832534b00000006020b3f5e4163d99327c0d99be67ef6b5a8371a48261df55c61cff8f81a41deb5&timestamp=1695933504153&RGID=r2fe47197fe65c4f91653267939cff9b2,9/20/2023,,4/1/2024
Open,EPA-OAR-OTAQ-23-06,EPA,"$400,000,000",https://www.grants.gov/web/grants/view-opportunity.html?oppId=347715,2023 Clean School Bus Rebates,"Funds to incentivize and accelerate the replacement of existing school buses with clean and Zero Emissions (ZE) school buses. Eligible activities include the replacement of existing internal-combustion engine (ICE) school buses with electric, propane, or compressed natural gas (CNG) school buses, as well as the purchase of electric vehicle supply equipment (EVSE) infrastructure and EVSE installations.",Grant,BIL,"SLGs, Tribes, Non-profts, charter schools",Vehicle Manufacturing,Charger Manufacturing and Operations,https://www.epa.gov/system/files/documents/2023-05/csb-grant-info-session-2023-05-10.pdf,9/28/2023,,1/31/2024
Open,DE-FOA-0003080,DOE,"$30,000,000",https://eere-exchange.energy.gov/Default.aspx#FoaIdbefcd7fa-c10a-45d3-874c-33e0a3374709,Solar-thermal Fuels and Thermal Energy Storage via Concentrated Solar-thermal energy,"This FOA will award up to $30 million for research, development, and demonstration projects in thermochemical storage via solar fuel production and local thermal energy storage (TES) for dispatchable energy.",Grant,BIL,,Electricity Providers,,https://doe.webex.com/weblink/register/r0e95698e95ade5cff497f575e832aa37,9/21/2023,11/3/2023,1/12/2024
Open,DE-FOA-0003099,DOE,"$3,500,000,000",https://infrastructure-exchange.energy.gov/Default.aspx?utm_medium=email&utm_source=govdelivery#FoaIda8b13027-1ca4-42f3-a18e-8072624b2acb,BIL Battery Materials Processing & Manufacturing Grants,"The funding will create new, retrofitted, and expanded domestic facilities for battery-grade processed critical minerals, battery precursor materials, battery components, and cell and pack manufacturing",Grant,BIL,"Individuals, Domestic entitites (National labs, non-profit/for-profit, State/Local Govs, others)",Battery Manufacturing,,,11/15/2023,1/9/2023,3/19/2024
Closed,EPA-OAR-OTAQ-23-03,EPA,"$115,000,000",https://www.grants.gov/web/grants/view-opportunity.html?oppId=349696,Diesel Emissions Reduction Act (DERA) Grants,"Funding assistance to accelerate the upgrade, retrofit, and turnover of the legacy diesel fleet.",Grant,Other,"SLGs, Tribes, Non-profits",Vehicle Manufacturing,Charger Manufacturing and Operations,https://www.epa.gov/system/files/documents/2023-08/dera-fy22-23-national-grants-nofo-webinar-08-23-23.pdf,8/2/2023,,12/1/2023
Closed,DE-FOA-0002897,DOE,"$125,000,000",https://eere-exchange.energy.gov/Default.aspx#FoaId5ed76f05-4dda-4951-8124-55bc4a09ca76,"Consumer Electronics Battery Recycling, Reprocessing, and Collection", Funding to support the recycling of consumer electronics batteries and battery-containing devices to help build a robust domestic critical material supply chain for EV batteries in the United States.,Grant,BIL,"SLGs, Research agencies, Non-profits, battery manufactures/retailers, industrial/manufacturing entities, among others",Battery Recycling,Battery Manufacturing,,6/12/2023,Concept Paper 9/18/2023,11/29/2023
